問題,選項1,選項2,選項3,答案,答對回饋,答錯回饋,提示
哪種筆不能寫字？,鉛筆,電光筆,鋼筆,電光筆,哇塞你真棒！,你好low,就在超人力霸王手裡
什麼桶子永遠裝不滿？,水桶,馬桶,飯桶,馬桶,完全正確！,不對喔，加油！,每天都要坐的東西
為什麼企鵝只有肚子是白的？,怕曬黑,因為手短洗不到背,肚子餓,因為手短洗不到背,你太聰明了！,呃...好像不是這個答案,跟牠的身體構造有關
什麼車最長？,跑車,塞車,卡車,塞車,恭喜答對！,可惜，答錯了,這種車誰都不想遇到
哪種動物最愛貼標籤？,老虎,斑馬,獅子,斑馬,就是這個答案！,需要幫幫忙嗎？,身上一條一條的
什麼馬不會跑？,白馬,海馬,黑馬,海馬,好厲害！,這個答案有點奇怪,牠住在水底下的
誰最不喜歡收到紅包？,小孩,掃地機器人,老人,掃地機器人,難不倒你喔！,再試一次！,因為它怕「紅包」會卡住
哪種魚最懶惰？,認錯的人,殼類動物,摸魚,摸魚,哇塞你真棒！,你好low,上班最愛做的事
哪種狗最冷？,哈士奇,熱狗,貴賓,熱狗,太神啦！,再想一下吧,冷熱是相反的！
什麼蛋不能吃？,雞蛋,臉蛋,鴨蛋,臉蛋,答對了，天才！,差一點點喔,長在每個人身上
什麼果實沒人敢吃？,蘋果,後果,芒果,後果,你太聰明了！,呃...好像不是這個答案,這種果實通常很苦
為什麼雞要過馬路？,怕被吃,因為牠要到對面,想散步,因為牠要到對面,恭喜答對！,可惜，答錯了,這是最經典的答案
什麼地方進去一個人，出來三個人？,電影院,醫院,廁所,醫院,難不倒你喔！,再試一次！,進去生小孩的
